Year,Plot,DBH,Height,Gap,Biomass,Richness,H',C_0-50,C_51-100,C_101-150,C_151-200,CC
2014,S13-9-14,2.95,0.12,NA,NA,19,2.74,NA,NA,NA,NA,4.786885246
2014,S13-9-39,2.67,0.1,NA,NA,15,2.45,NA,NA,NA,NA,4.4
2014,S13-9-40,2.98,0.12,NA,NA,12,2.42,NA,NA,NA,NA,4.68627451
2015,E13-R10-35,3.315368,4.032985,NA,NA,14,2.39,4,4,3,0,5.526315789
2015,E13-R10-36,2.764118,3.556,NA,NA,11,2.33,4,2,0,0,5.866666667
2015,E13-R10-7,4.287212,4.772429,NA,NA,19,2.55,4,1,0,0,5.8
2015,E13-R10-8,4.347882,4.941794,NA,NA,15,2.34,4,3,0,0,4.860465116
2015,E13-R11-10,4.268839,4.836979,NA,NA,23,2.89,4,3,3,0,3.879310345
2015,E13-R11-33,5.05918,5.119141,NA,NA,18,2.63,4,1,0,0,4.613636364
2015,E13-R11-34,4.303776,4.506773,NA,NA,21,2.89,4,4,4,4,4.519230769
2015,E13-R11-9,5.3975,5.034099,NA,NA,22,2.69,4,4,4,0,2.87804878
2015,E13-R6-1,5.503333,6.060902,NA,NA,22,2.82,4,4,1,0,3.872727273
2015,E13-R6-2,7.738894,9.253598,NA,NA,20,2.67,3,3,2,0,3.616666667
2015,E13-R6-45,3.281265,4.3829,NA,NA,18,2.5,4,4,4,0,4.869565217
2015,E13-R6-46,6.124222,6.809909,NA,NA,17,2.49,4,1,0,0,4.042553191
2015,E13-R8-3,3.74396,3.539338,NA,NA,20,2.74,4,3,1,0,4.5
2015,E13-R8-31,5.958703,5.225261,NA,NA,20,2.73,2,0,0,0,3.542372881
2015,E13-R8-32,6.533931,6.153281,NA,NA,16,2.7,4,1,0,0,4.128205128
2015,E13-R8-4,6.491,6.885167,NA,NA,14,2.32,4,0,0,0,4.341463415
2015,E13-R9-43,5.338536,6.045381,NA,NA,19,2.77,1,0,0,0,3.44
2015,E13-R9-44,5.576455,5.184371,NA,NA,14,2.5,1,0,0,0,4
2015,E13-R9-5,6.394349,5.865717,NA,NA,17,2.48,1,0,0,0,4.574468085
2015,E13-R9-6,5.678714,7.155373,NA,NA,16,2.65,1,0,0,0,3.326530612
2015,S08-1-21,11.899385,7.892308,NA,NA,15,2.47,0,0,0,0,4.612903226
2015,S08-1-22,11.521562,8.256094,NA,NA,10,2.13,4,4,4,1,4.743589744
2015,S08-1-57,10.476444,7.863111,NA,NA,14,2.43,2,0,0,0,5.027777778
2015,S08-1-58,8.924314,6.73451,NA,NA,11,2.32,4,1,0,0,5.162162162
2015,S08-17-25,7.51202,7.178687,NA,NA,12,2.1,2,0,0,0,4.6
2015,S08-17-26,9.181481,6.409259,NA,NA,12,2.44,4,4,0,0,5.448275862
2015,S08-17-59,8.708806,6.34806,NA,NA,13,2.42,4,4,3,1,5.703703704
2015,S08-17-60,10.423333,8.30037,NA,NA,14,2.35,0,0,0,0,3.608695652
2015,S08-3-23,7.874,5.2445,NA,NA,10,1.98,4,1,0,0,5.80952381
2015,S08-3-24,8.230588,7.019412,NA,NA,9,2.16,4,3,1,0,5.222222222
2015,S08-3-53,9.324667,7.373111,NA,NA,13,2.33,2,0,0,0,5.733333333
2015,S08-3-54,9.285294,7.101765,NA,NA,8,1.94,4,1,0,0,5.666666667
2015,S08-32-61,9.073279,6.9,NA,NA,11,2.05,4,1,0,0,5.0625
2015,S08-32-62,9.364667,7.074,NA,NA,14,2.42,4,1,0,0,5.125
2015,S08-32-63,9.448286,7.878,NA,NA,13,2.17,4,0,0,0,5.153846154
2015,S08-32-64,9.077419,7.094516,NA,NA,12,2.28,4,0,0,0,5.821428571
2015,S08-36-25,9.370667,7.5432,NA,NA,10,2.03,4,3,3,2,3.448275862
2015,S08-36-26,9.7624,7.882,NA,NA,13,2.05,2,0,0,0,2.80952381
2015,S08-36-59,7.968478,7.459565,NA,NA,13,2.34,4,3,0,0,4.166666667
2015,S08-36-60,10.369412,7.734118,NA,NA,14,2.23,4,4,4,4,3.903225806
2015,S13-17-17,7.303245,1.2332075,NA,NA,26,2.85,4,3,0,0,5.368421053
2015,S13-17-18,4.935143,2.6165306,NA,NA,33,3.11,2,4,2,0,4.986842105
2015,S13-17-49,5.061619,2.2411905,NA,NA,17,2.77,4,4,0,0,4.115942029
2015,S13-17-50,5.251808,2.3417308,NA,NA,23,2.78,4,4,0,0,5.285714286
2015,S13-2-65,4.628612,2.0232,NA,NA,18,2.59,4,0,0,0,5.161290323
2015,S13-2-66,4.976298,2.3029787,NA,NA,24,2.85,4,3,0,0,4.242857143
2015,S13-2-67,4.194975,1.80225,NA,NA,21,2.72,4,1,0,0,5.171428571
2015,S13-2-68,4.610217,2.1053333,NA,NA,23,2.89,4,3,0,0,5.042857143
2015,S13-26-19,2.616943,0.9968571,NA,NA,18,2.65,4,4,3,1,5.92
2015,S13-26-20,4.703578,2.5635556,NA,NA,19,2.7,4,4,2,0,5.666666667
2015,S13-26-37,4.128231,1.3973077,NA,NA,20,2.57,4,3,0,0,5.886792453
2015,S13-26-38,3.775417,1.3091667,NA,NA,14,2.36,4,4,4,0,5.7
2015,S13-6-11,4.2016,1.7418,NA,NA,19,2.63,4,4,0,0,5.24
2015,S13-6-12,3.956735,1.6061224,NA,NA,20,2.7,4,4,1,0,5.28
2015,S13-6-41,3.327667,1.3733333,NA,NA,14,2.4,4,1,0,0,6.28
2015,S13-6-42,4.471116,1.8406818,NA,NA,22,2.84,4,4,0,0,5.03125
2015,S13-9-13,4.808692,1.9292308,NA,NA,16,2.5,4,4,0,0,5
2015,S13-9-14,4.96573,2.0897297,NA,NA,18,2.6,4,4,3,0,4.735849057
2015,S13-9-39,4.599407,1.9044444,NA,NA,19,2.6,2,0,0,0,4.58490566
2015,S13-9-40,NA,2.4378571,NA,NA,17,2.69,4,2,0,0,4.25862069
2016,E13-R10-35,5.170311,6.672411,38.274,103.77,10,1.98,4,4,4,4,5.2
2016,E13-R10-36,4.069644,5.569035,42.692,96.57,5,1.88,4,4,4,2,4.941176471
2016,E13-R10-7,6.35,8.855365,34.626,49.29667,10,1.97,4,4,4,2,4.25
2016,E13-R10-8,6.289729,8.290043,31.638,64.21571,13,2.16,4,4,1,1,3.8
2016,E13-R11-10,6.495143,8.205107,30.634,37.63,11,2.03,4,4,4,4,3.703703704
2016,E13-R11-33,6.106583,7.42315,28.586,39.03,13,2.16,4,4,1,1,3.888888889
2016,E13-R11-34,7.321176,9.158344,28.462,55.49,14,2.58,4,4,2,1,3.928571429
2016,E13-R11-9,9.592235,11.523233,29.508,30.87,13,2.26,4,4,4,2,3.230769231
2016,E13-R6-1,12.346214,13.66266,34.308,48.05,13,2.25,4,4,4,4,3.705882353
2016,E13-R6-2,5.743864,7.4676,35.972,24.90143,13,2.42,4,2,2,1,2
2016,E13-R6-45,10.795,12.929382,36.642,99.91,9,1.68,4,4,4,1,4.384615385
2016,E13-R6-46,5.729111,7.827264,32.2,45.97,13,2.26,4,1,1,1,3.425
2016,E13-R8-3,9.304867,12.483592,38.038,67.43,12,2.18,4,4,4,4,4.576923077
2016,E13-R8-31,9.335698,12.292642,32.512,25.38,13,2.35,4,4,4,4,2.142857143
2016,E13-R8-32,9.920514,13.611497,30.114,17.03,11,2.43,4,1,1,1,2.535714286
2016,E13-R8-4,6.994769,9.764151,32.862,40.555,8,1.9,2,1,1,1,3.433333333
2016,E13-R9-43,7.902222,10.537952,33.892,64.905,13,2.45,4,2,1,1,3.655172414
2016,E13-R9-44,7.545659,11.867871,34.75,36.57,9,2.11,4,1,1,1,3.185185185
2016,E13-R9-5,8.410755,11.831991,35.462,79.83,16,2.4,4,4,4,2,3.096774194
2016,E13-R9-6,8.261604,12.255398,29.856,30.03,19,2.61,4,1,1,1,3
2016,S08-1-21,13.244286,10.474476,19.646,4.85,10,2.06,1,1,1,1,2.533333333
2016,S08-1-22,12.612687,9.93648,19.562,7.07,6,1.73,4,2,1,1,3.363636364
2016,S08-1-57,11.678356,8.955024,22.562,12.63,9,2.04,2,1,1,1,4.705882353
2016,S08-1-58,10.15502,7.949901,32.574,29.53,7,1.86,2,1,1,1,4.041666667
