Plot,Lat,Lon
186,-93.04613593,32.74838988
187,-93.04593164,32.74838988
188,-93.04920026,32.74856191
189,-93.04899597,32.74856191
190,-93.04879168,32.74856191
191,-93.04858739,32.74856191
192,-93.04838311,32.74856191
193,-93.04817882,32.74856191
194,-93.04797453,32.74856191
195,-93.04777024,32.74856191
196,-93.04756595,32.74856191
197,-93.04736166,32.74856191
198,-93.04715737,32.74856191
199,-93.04695308,32.74856191
200,-93.04674879,32.74856191
201,-93.0465445,32.74856191
202,-93.04634022,32.74856191
203,-93.04613593,32.74856191
204,-93.04593164,32.74856191
205,-93.04920026,32.74873394
206,-93.04899597,32.74873394
207,-93.04879168,32.74873394
208,-93.04858739,32.74873394
209,-93.04838311,32.74873394
210,-93.04817882,32.74873394
211,-93.04797453,32.74873394
212,-93.04777024,32.74873394
213,-93.04756595,32.74873394
214,-93.04736166,32.74873394
215,-93.04715737,32.74873394
216,-93.04695308,32.74873394
217,-93.04674879,32.74873394
218,-93.0465445,32.74873394
219,-93.04634022,32.74873394
220,-93.04613593,32.74873394
221,-93.04593164,32.74873394
222,-93.04920026,32.74890598
223,-93.04899597,32.74890598
224,-93.04879168,32.74890598
225,-93.04858739,32.74890598
226,-93.04838311,32.74890598
227,-93.04817882,32.74890598
228,-93.04797453,32.74890598
229,-93.04777024,32.74890598
230,-93.04756595,32.74890598
231,-93.04736166,32.74890598
232,-93.04715737,32.74890598
233,-93.04695308,32.74890598
234,-93.04674879,32.74890598
235,-93.0465445,32.74890598
236,-93.04634022,32.74890598
237,-93.04613593,32.74890598
238,-93.04593164,32.74890598
239,-93.04920026,32.74907801
240,-93.04899597,32.74907801
241,-93.04879168,32.74907801
242,-93.04858739,32.74907801
243,-93.04838311,32.74907801
244,-93.04817882,32.74907801
245,-93.04797453,32.74907801
246,-93.04777024,32.74907801
247,-93.04756595,32.74907801
248,-93.04736166,32.74907801
249,-93.04715737,32.74907801
250,-93.04695308,32.74907801
251,-93.04674879,32.74907801
252,-93.0465445,32.74907801
253,-93.04634022,32.74907801
254,-93.04613593,32.74907801
255,-93.04593164,32.74907801
256,-93.04920026,32.74925004
257,-93.04899597,32.74925004
258,-93.04879168,32.74925004
259,-93.04858739,32.74925004
260,-93.04838311,32.74925004
261,-93.04817882,32.74925004
262,-93.04797453,32.74925004
263,-93.04777024,32.74925004
264,-93.04756595,32.74925004
265,-93.04736166,32.74925004
266,-93.04715737,32.74925004
267,-93.04695308,32.74925004
268,-93.04674879,32.74925004
269,-93.0465445,32.74925004
270,-93.04634022,32.74925004
271,-93.04613593,32.74925004
272,-93.04593164,32.74925004
273,-93.04920026,32.74942207
274,-93.04899597,32.74942207
275,-93.04879168,32.74942207
276,-93.04858739,32.74942207
277,-93.04838311,32.74942207
278,-93.04817882,32.74942207
279,-93.04797453,32.74942207
280,-93.04777024,32.74942207
281,-93.04756595,32.74942207
282,-93.04736166,32.74942207
283,-93.04715737,32.74942207
284,-93.04695308,32.74942207
285,-93.04674879,32.74942207
286,-93.0465445,32.74942207
287,-93.04634022,32.74942207
288,-93.04613593,32.74942207
289,-93.04593164,32.74942207
290,-93.04920026,32.7495941
291,-93.04899597,32.7495941
292,-93.04879168,32.7495941
293,-93.04858739,32.7495941
294,-93.04838311,32.7495941
295,-93.04817882,32.7495941
296,-93.04797453,32.7495941
297,-93.04777024,32.7495941
298,-93.04756595,32.7495941
299,-93.04736166,32.7495941
300,-93.04715737,32.7495941
301,-93.04695308,32.7495941
302,-93.04674879,32.7495941
303,-93.0465445,32.7495941
304,-93.04634022,32.7495941
305,-93.04613593,32.7495941
306,-93.04593164,32.7495941
