Year,Quarter,Time,Type,Price
2021,Q3,2021 Q3,Hardwood Pulpwood,9.4
2021,Q4,2021 Q4,Hardwood Pulpwood,9.48
2022,Q1,2022 Q1,Hardwood Pulpwood,9.69
2022,Q2,2022 Q2,Hardwood Pulpwood,8.31
2022,Q3,2022 Q3,Hardwood Pulpwood,7.57
2022,Q4,2022 Q4,Hardwood Pulpwood,9.65
2023,Q1,2023 Q1,Hardwood Pulpwood,9.21
2023,Q2,2023 Q2,Hardwood Pulpwood,10.43
2023,Q3,2023 Q3,Hardwood Pulpwood,7.86
2023,Q4,2023 Q4,Hardwood Pulpwood,6.92
2024,Q1,2024 Q1,Hardwood Pulpwood,7.8
2024,Q2,2024 Q2,Hardwood Pulpwood,8.18
