"","Year","Location","Family","Block","GLD","GLB"
"69","First","LA Tech","AGHS4",1,11.52,"AGHS4_LA Tech_1"
"70","First","LA Tech","AGHS4",2,12.63,"AGHS4_LA Tech_2"
"71","First","LA Tech","AGHS4",3,14.5,"AGHS4_LA Tech_3"
"72","First","LA Tech","AGHS4",4,14.8,"AGHS4_LA Tech_4"
"73","First","Hill Farm","AGH2",1,11.45,"AGH2_Hill Farm_1"
"74","First","Hill Farm","AGH2",2,13.21,"AGH2_Hill Farm_2"
"75","First","Hill Farm","AGH2",3,12.9,"AGH2_Hill Farm_3"
"76","First","Hill Farm","AGH2",4,12.31,"AGH2_Hill Farm_4"
"77","First","Hill Farm","AGH25",1,14.97,"AGH25_Hill Farm_1"
"78","First","Hill Farm","AGH25",2,13.41,"AGH25_Hill Farm_2"
"79","First","Hill Farm","AGH25",3,11.4,"AGH25_Hill Farm_3"
"80","First","Hill Farm","AGH25",4,14.18,"AGH25_Hill Farm_4"
"81","First","Hill Farm","AGHS1",1,18.14,"AGHS1_Hill Farm_1"
"82","First","Hill Farm","AGHS1",2,15.65,"AGHS1_Hill Farm_2"
"83","First","Hill Farm","AGHS1",3,15.98,"AGHS1_Hill Farm_3"
"84","First","Hill Farm","AGHS1",4,14.25,"AGHS1_Hill Farm_4"
"85","First","Hill Farm","AGHS2",1,13.02,"AGHS2_Hill Farm_1"
"86","First","Hill Farm","AGHS2",2,12.6,"AGHS2_Hill Farm_2"
"87","First","Hill Farm","AGHS2",3,18.15,"AGHS2_Hill Farm_3"
"88","First","Hill Farm","AGHS2",4,17.66,"AGHS2_Hill Farm_4"
"89","First","Hill Farm","AGHS3",1,15.08,"AGHS3_Hill Farm_1"
"90","First","Hill Farm","AGHS3",2,13.43,"AGHS3_Hill Farm_2"
"91","First","Hill Farm","AGHS3",3,16.06,"AGHS3_Hill Farm_3"
"92","First","Hill Farm","AGHS3",4,13.42,"AGHS3_Hill Farm_4"
"93","First","Hill Farm","AGHS4",1,13.56,"AGHS4_Hill Farm_1"
