Plot,iaf_cov,ipf_cov,iag_cov,ipg_cov,ips_cov,naf_cov,npf_cov,nag_cov,npg_cov,nps_cov,gen_cov
Canyon_Grassland_TM2_SHRUB2_ctrl_one_yr,31.75,7,29.75,12.5,0,4.5,2,4.25,4.25,27.75,0
Canyon_Grassland_TM2_SHRUB3_ctrl_one_yr,15.5,19.25,5,0,0,6.25,18.25,1,5.25,49.75,0
Canyon_Grassland_TM3_FEID1_ctrl_one_yr,0.5,0.5,21.5,0,0,1.75,25.25,0,19.5,0,0
Canyon_Grassland_TM3_FEID2_ctrl_one_yr,5.5,0,12.5,0,0,0,21.75,0,15,0.5,0
Canyon_Grassland_TM3_FEID3_ctrl_one_yr,0,0,10,0,0,1,22.25,0,30,0,0
Canyon_Grassland_WWR1_FEID1_ctrl_one_yr,1.75,3.5,26.25,1.75,0,1.5,14,0,37,0,0
Canyon_Grassland_WWR1_FEID2_ctrl_one_yr,0,0.5,21.5,0,0,2,30.75,0,28,1.5,1.75
Canyon_Grassland_WWR1_FEID3_ctrl_one_yr,4.5,0,25.75,0,0,1,1.5,0,21.75,3.75,0
Canyon_Grassland_WWR2_PSSP1_ctrl_one_yr,12.5,0,71,1.75,0,19,1,0,4.75,0,0
Canyon_Grassland_WWR2_PSSP2_ctrl_one_yr,3.5,0,53,6,0,5.25,0.5,0,20.25,0.5,0
Canyon_Grassland_WWR2_PSSP3_ctrl_one_yr,6,0,75.5,0,0,13,0,0,10.25,0,0
Canyon_Grassland_WWR3_SHRUB1_ctrl_one_yr,52.25,4,11.75,0,0,9,6.75,0,6,35.25,0
Canyon_Grassland_WWR3_SHRUB2_ctrl_one_yr,17.25,7,9.75,1.75,0,1,3.25,0,47,20.75,0
Canyon_Grassland_WWR3_SHRUB3_ctrl_one_yr,24.25,1.5,9.75,15,0,5.5,8.75,0,0,50.75,0
catcreek_101_ctrl_one_yr,5,20,32.5,0,0,0,0,0,37.5,0,0
catcreek_101_ctrl_one_yr,7.5,17.5,15,0,0,0,0,0,2.5,0,0
catcreek_213_ctrl_one_yr,2.5,0,5,0,0,0,7.5,0,15,15,0
catcreek_213_ctrl_one_yr,2.5,0,30,2.5,0,0,5,0,15,0,0
catcreek_307_ctrl_one_yr,2.5,0,52.5,0,0,2.5,2.5,0,2.5,0,0
catcreek_307_ctrl_one_yr,2.5,0,40,0,0,0,0,0,0,0,0
chipmunk_road_1_ctrl_one_yr,0,0,11.8,0,0,1.2,7.4,0,7.4,7.6,3.6
chipmunk_road_2_ctrl_one_yr,0,0,8.4,0,0,8,11.2,0,2.4,2.4,1.8
chipmunk_road_3_ctrl_one_yr,0,0,22.6,0,0,0.6,1.2,0,3.6,36,5.6
CSKT_1_ctrl_one_yr,2.28,0.14,62.36,2.15,0,20.57,0.14,0,1.29,0,0.07
CSKT_2_ctrl_one_yr,1.71,2.57,54,4.42,0,4.79,0,0,0.14,0,0
CSKT_3_ctrl_one_yr,2.08,1.28,47.57,4.07,0,6.64,0.07,0,0.35,0,0
decker_A1_1_ctrl_one_yr,0.67,0,26.17,0,0,1,2.17,0,0,0,0.67
decker_A2__ctrl_one_yr,1.17,0.17,23.67,0,0,0,5.33,0,0,0,0
decker_B1__ctrl_one_yr,1.83,0.5,5.5,0,0,6.34,5.16,0,0.17,0.67,0
decker_C1__ctrl_one_yr,1,0.5,45.34,0,0,1.33,8.5,0,0,0,0
decker_C2__ctrl_one_yr,1.17,0.83,12.83,2.67,0,4,3.83,0,0,0,0
decker_C3__ctrl_one_yr,2,5.83,8.16,5,0,3.83,0.33,0,8.83,0,0
Draw_3_ctrl_one_yr,9,16,0,0,0,4,10.5,0,20,3,0
FK_Cottonwood_1_ctrl_one_yr,0.07,0,9.71,1,0,1.07,0,2.93,24.36,0.78,4.71
FK_Cottonwood_2_ctrl_one_yr,2.72,0,8.43,8.71,0,1.64,0.5,0.36,14.49,0.14,1.79
FK_Cottonwood_3_ctrl_one_yr,2.43,0,13.57,12.86,0,0.93,0.29,0.07,15.2,0,0.71
FK_East_Hill_1_ctrl_one_yr,0.72,0,17.93,0,0,0.57,0.5,0,39.21,1.93,0
FK_East_Hill_2_ctrl_one_yr,0.93,0,26.29,0,0,0.42,2.5,0.29,28.92,0.21,0
FK_East_Hill_3_ctrl_one_yr,0.49,0.07,26.43,0,0,1,1.93,0.07,39.71,0.29,0
FK_Hogsback_1_ctrl_one_yr,0.14,0,26.64,0,0,0.07,2.14,0.57,14.5,0.64,6.43
FK_Hogsback_2_ctrl_one_yr,0.07,0.07,24.57,0,0,0.07,4.79,0.86,17.29,0.5,1.57
FK_Hogsback_3_ctrl_one_yr,0.85,0,15.85,0,0,0.35,0.43,0.43,16.43,1.64,9.14
FK_Lone_Pine_1_ctrl_one_yr,0.43,0,6.57,0,0,0.64,1.64,0,23.35,0.93,0.14
FK_Lone_Pine_2_ctrl_one_yr,0.14,0,20.15,0,0,0.78,0.5,0.07,17.92,0.64,1
FK_Lone_Pine_3_ctrl_one_yr,3.85,0.07,13.78,0,0,3.49,1.43,0.21,21.78,0.14,3.57
Flem_1_ctrl_one_yr,0.28,0.14,55,0.29,0,0,0,0,37.86,0,0
Flem_2_ctrl_one_yr,1.14,0.14,50.29,1.14,0,0.21,0,0,24.14,0,0
Flem_3_ctrl_one_yr,2.57,0.65,53,0,0,0.07,0,0,28.71,0,1.07
four_mile_road_1_ctrl_one_yr,1.8,6.2,47,3,0,4.8,0,0,0,0,0
four_mile_road_2_ctrl_one_yr,0.6,2.4,44.4,0,0,18.6,0,0,0,0,0
four_mile_road_3_ctrl_one_yr,0,0.6,51.4,0,0,1.8,0,0,0,9.4,0
gravel_pit_1_ctrl_one_yr,0,0,30.4,1.8,0,1.2,12.8,0,3.8,12,0
gravel_pit_2_ctrl_one_yr,0,0,32,2.4,0,0.6,11.2,0,2.4,1.2,0.6
gravel_pit_3_ctrl_one_yr,0,5.6,16.2,4.4,0,0,14.4,0,0,0,0.6
highway_20_1_ctrl_one_yr,3.6,7.6,9.4,33.4,0,8,0,0,0,0,0
highway_20_2_ctrl_one_yr,5.6,0,6.2,8,0,5.4,1.8,0,1.8,1.8,0
