"","Plot","Type","Site","Year","Group","Incidence"
"112","E13-R9-5","E13","E13-R8","2014","AF",12
"113","E13-R9-5","E13","E13-R8","2014","GR",12
"114","E13-R9-5","E13","E13-R8","2014","LEG",6
"115","E13-R9-6","E13","E13-R8","2014","SHTR",5
"116","E13-R9-6","E13","E13-R8","2014","VI",8
"117","E13-R9-6","E13","E13-R8","2014","PF",32
"118","E13-R9-6","E13","E13-R8","2014","AF",14
"119","E13-R9-6","E13","E13-R8","2014","GR",18
"120","E13-R9-6","E13","E13-R8","2014","LEG",0
"121","S08-1-21","S08","S08-1","2015","SHTR",8
"122","S08-1-21","S08","S08-1","2015","VI",14
"123","S08-1-21","S08","S08-1","2015","PF",15
"124","S08-1-21","S08","S08-1","2015","AF",1
"125","S08-1-21","S08","S08-1","2015","GR",9
"126","S08-1-21","S08","S08-1","2015","LEG",2
"127","S08-1-22","S08","S08-1","2015","SHTR",14
"128","S08-1-22","S08","S08-1","2015","VI",13
"129","S08-1-22","S08","S08-1","2015","PF",32
"130","S08-1-22","S08","S08-1","2015","AF",1
"131","S08-1-22","S08","S08-1","2015","GR",7
"132","S08-1-22","S08","S08-1","2015","LEG",7
"133","S08-1-57","S08","S08-1","2015","SHTR",7
"134","S08-1-57","S08","S08-1","2015","VI",9
"135","S08-1-57","S08","S08-1","2015","PF",16
"136","S08-1-57","S08","S08-1","2015","AF",4
"137","S08-1-57","S08","S08-1","2015","GR",20
"138","S08-1-57","S08","S08-1","2015","LEG",1
"139","S08-1-58","S08","S08-1","2015","SHTR",7
"140","S08-1-58","S08","S08-1","2015","VI",9
"141","S08-1-58","S08","S08-1","2015","PF",18
"142","S08-1-58","S08","S08-1","2015","AF",1
"143","S08-1-58","S08","S08-1","2015","GR",19
"144","S08-1-58","S08","S08-1","2015","LEG",2
"145","S08-17-25","S08","S08-17","2015","SHTR",15
"146","S08-17-25","S08","S08-17","2015","VI",10
"147","S08-17-25","S08","S08-17","2015","PF",3
"148","S08-17-25","S08","S08-17","2015","AF",2
"149","S08-17-25","S08","S08-17","2015","GR",10
"150","S08-17-25","S08","S08-17","2015","LEG",1
"151","S08-17-26","S08","S08-17","2015","SHTR",7
"152","S08-17-26","S08","S08-17","2015","VI",10
"153","S08-17-26","S08","S08-17","2015","PF",12
"154","S08-17-26","S08","S08-17","2015","AF",1
"155","S08-17-26","S08","S08-17","2015","GR",18
