Plot,Lat,Lon,State,Region,Elevation,Slope,MAP,T_min,MAT,T_max,rich,Shannon,litter,bare_rock,BD0cm,BD100cm,BD15cm,Bd200cm,BD30cm,BD5cm,BD60cm,Clay0cm,Clay100cm,Clay15cm,Clay200cm,Clay30cm,Clay5cm,Clay60cm,N0cm,N100cm,N15cm,N200cm,N30cm,N5cm,N60cm,pH0cm,pH100cm,pH15cm,pH200cm,pH30cm,pH5cm,pH60cm,Sand0cm,Sand100cm,Sand15cm,Sand200cm,Sand30cm,Sand5cm,Sand60cm,SOC0cm,SOC100cm,SOC15cm,SOC200cm,SOC30cm,SOC5cm,SOC60cm
Rinker_Rock_605_near_one_yr_ctrl,43.4469,-114.369,ID,Western Cordillera,1643.05,1.93,424.06,5.68,-1.75,13.12,12,1.827182638,0,9.8,1075,1480,1186,1489,1201,1119,1363,17,15,21,16,24,17,23,26,11,18,11,14,24,11,65,72,65,72,66,64,70,46,53,43,60,40,46,46,42,6,19,5,12,25,10
Rinker_Rock_605_near_one_yr_ctrl,43.4469,-114.369,ID,Western Cordillera,1643.05,1.93,424.06,5.68,-1.75,13.12,12,1.827182638,0,9.8,1075,1480,1186,1489,1201,1119,1363,17,15,21,16,24,17,23,26,11,18,11,14,24,11,65,72,65,72,66,64,70,46,53,43,60,40,46,46,42,6,19,5,12,25,10
Rinker_Rock_606_far_one_yr_ctrl,43.44655,-114.369,ID,Western Cordillera,1643.79,4.49,423.77,5.69,-1.75,13.12,14,1.788998617,0,10,975,1450,1175,1459,1198,1103,1355,17,15,21,15,24,17,23,26,11,20,12,15,24,12,64,72,65,72,66,63,70,45,51,44,59,41,45,46,41,6,19,5,12,28,12
Rinker_Rock_606_far_one_yr_ctrl,43.44655,-114.369,ID,Western Cordillera,1643.79,4.49,423.77,5.69,-1.75,13.12,14,1.788998617,0,10,975,1450,1175,1459,1198,1103,1355,17,15,21,15,24,17,23,26,11,20,12,15,24,12,64,72,65,72,66,63,70,45,51,44,59,41,45,46,41,6,19,5,12,28,12
Rinker_Rock_607_near_one_yr_ctrl,43.4446,-114.368,ID,Western Cordillera,1643.41,5.28,423.33,5.69,-1.73,13.11,11,1.629590137,0,6.6,889,1461,1193,1441,1222,1090,1364,20,18,21,18,26,18,23,29,12,18,12,14,26,12,64,71,64,72,65,63,70,36,45,35,47,31,36,36,49,7,20,6,13,31,10
Rinker_Rock_607_near_one_yr_ctrl,43.4446,-114.368,ID,Western Cordillera,1643.41,5.28,423.33,5.69,-1.73,13.11,11,1.629590137,0,6.6,889,1461,1193,1441,1222,1090,1364,20,18,21,18,26,18,23,29,12,18,12,14,26,12,64,71,64,72,65,63,70,36,45,35,47,31,36,36,49,7,20,6,13,31,10
Rinker_Rock_608_far_one_yr_ctrl,43.44502,-114.368,ID,Western Cordillera,1644.93,6.54,423.69,5.69,-1.74,13.11,4,1.203004712,0,4.8,927,1448,1139,1450,1204,1079,1342,20,16,24,18,27,20,26,31,12,19,12,15,26,12,64,72,65,73,67,64,71,35,45,31,46,30,35,34,46,6,20,6,12,28,9
Rinker_Rock_608_far_one_yr_ctrl,43.44502,-114.368,ID,Western Cordillera,1644.93,6.54,423.69,5.69,-1.74,13.11,4,1.203004712,0,4.8,927,1448,1139,1450,1204,1079,1342,20,16,24,18,27,20,26,31,12,19,12,15,26,12,64,72,65,73,67,64,71,35,45,31,46,30,35,34,46,6,20,6,12,28,9
Rinker_Rock_7_near_one_yr_ctrl,43.43985,-114.388,ID,Western Cordillera,1606.32,9.58,416.36,5.78,-1.69,13.25,11,1.807002656,0,34.4,1055,1413,1150,1429,1204,1126,1333,19,18,24,19,29,20,27,22,11,16,11,14,19,11,66,73,67,73,68,65,71,34,44,32,47,32,33,34,37,5,16,5,11,22,7
Rinker_Rock_7_near_one_yr_ctrl,43.43985,-114.388,ID,Western Cordillera,1606.32,9.58,416.36,5.78,-1.69,13.25,11,1.807002656,0,34.4,1055,1413,1150,1429,1204,1126,1333,19,18,24,19,29,20,27,22,11,16,11,14,19,11,66,73,67,73,68,65,71,34,44,32,47,32,33,34,37,5,16,5,11,22,7
Rinker_Rock_8_far_one_yr_ctrl,43.44015,-114.388,ID,Western Cordillera,1608.61,10.46,416.68,5.78,-1.7,13.25,11,1.226138445,0,5.4,1055,1413,1150,1429,1204,1126,1333,19,18,24,19,29,20,27,22,11,16,11,14,19,11,66,73,67,73,68,65,71,34,44,32,47,32,33,34,37,5,16,5,11,22,7
Rinker_Rock_8_far_one_yr_ctrl,43.44015,-114.388,ID,Western Cordillera,1608.61,10.46,416.68,5.78,-1.7,13.25,11,1.226138445,0,5.4,1055,1413,1150,1429,1204,1126,1333,19,18,24,19,29,20,27,22,11,16,11,14,19,11,66,73,67,73,68,65,71,34,44,32,47,32,33,34,37,5,16,5,11,22,7
Rocky_Hill_LIDA_ctrl_one_yr_1,46.596111,-112.135833,MT,Cold Deserts,1383,10.69,415.14,6.17,-0.69,13.03,25,2.164895563,65.19,13.2,1195,1431,1259,1409,1310,1197,1364,21,22,24,21,23,20,26,22,9,17,10,13,17,10,68,78,70,78,74,67,77,35,42,33,43,31,35,33,63,4,13,4,9,20,6
Rocky_Hill_LIDA_ctrl_one_yr_2,46.596111,-112.135833,MT,Cold Deserts,1383,10.69,415.14,6.17,-0.69,13.03,22,2.185665109,71.5,14.705,1195,1431,1259,1409,1310,1197,1364,21,22,24,21,23,20,26,22,9,17,10,13,17,10,68,78,70,78,74,67,77,35,42,33,43,31,35,33,63,4,13,4,9,20,6
Rocky_Hill_LIDA_ctrl_one_yr_3,46.596111,-112.135833,MT,Cold Deserts,1383,10.69,415.14,6.17,-0.69,13.03,24,2.215842101,56.205,15.65,1195,1431,1259,1409,1310,1197,1364,21,22,24,21,23,20,26,22,9,17,10,13,17,10,68,78,70,78,74,67,77,35,42,33,43,31,35,33,63,4,13,4,9,20,6
Saratoga_193_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,13,1.878407337,0,35.83,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_196_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,17,1.774140876,0,42.5,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_199_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,18,2.260555675,0,31.67,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
Saratoga_222_ctrl_one_yr,41.478206,-106.644444,WY,Cold Deserts,2303.24,10.65,477.65,-2.52,4.66,11.83,17,2.126906382,14.17,30.83,941,1564,1176,1486,1317,1033,1393,18,16,20,16,21,19,20,28,12,23,12,16,32,12,71,77,72,78,72,70,75,54,65,56,66,57,56,61,61,5,21,5,13,32,8
