Plot,ALMY,APIN,BRAR,BRBR5,BRHO2,BRRA2,BRSE,BRST2,BRTE,TACA,VEDU,VUBR,VUMY
Canyon_Grassland_TC3_FEID2_ctrl_one_yr,0,0,4.5,0,0,0,0,0,0,0,1.5,0,0
Canyon_Grassland_TC3_FEID3_ctrl_one_yr,0,0,3.75,0,0,0,0,0,0.5,0,13.5,0,0
Canyon_Grassland_TM1_PSSP1_ctrl_one_yr,0,0,1.5,0,0,0,0,0,17.75,0,1,0,0
Canyon_Grassland_TM1_PSSP2_ctrl_one_yr,0,0,22.5,0,0,0,0,0,13.5,12.75,7.75,0,0
Canyon_Grassland_TM1_PSSP3_ctrl_one_yr,0,0,5.75,0,0,0,0,0,13.5,0,1.5,0,0
Canyon_Grassland_TM2_SHRUB1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,1.75,0,0
Canyon_Grassland_TM2_SHRUB2_ctrl_one_yr,0,0,0,0,0,0,0,0,16.75,0,13,0,0
Canyon_Grassland_TM2_SHRUB3_ctrl_one_yr,0,0,0,0,0,0,0,0,2.75,0,2.25,0,0
Canyon_Grassland_TM3_FEID1_ctrl_one_yr,0,0,9.75,0,0,0,0,0,0,0,11.75,0,0
Canyon_Grassland_TM3_FEID2_ctrl_one_yr,0,0,12,0,0,0,0,0,0,0,0.5,0,0
Canyon_Grassland_TM3_FEID3_ctrl_one_yr,0,0,8.25,0,0,0,0,0,0,0,1.75,0,0
Canyon_Grassland_WWR1_FEID1_ctrl_one_yr,0,0,0,0,26.25,0,0,0,0,0,0,0,0
Canyon_Grassland_WWR1_FEID2_ctrl_one_yr,0,0,0,0,0,0,0.5,0,0,0,21,0,0
Canyon_Grassland_WWR1_FEID3_ctrl_one_yr,0,0,0,0,24.75,0,0,0,0.5,0,0.5,0,0
Canyon_Grassland_WWR2_PSSP1_ctrl_one_yr,0,0,34.25,1.75,11,0,0,0,22.25,0,1.75,0,0
Canyon_Grassland_WWR2_PSSP2_ctrl_one_yr,0,0,10.75,0,21.5,0,0,0,15.25,0,5.5,0,0
Canyon_Grassland_WWR2_PSSP3_ctrl_one_yr,0,0,2.75,0,10.75,0,0,0,54,0,8,0,0
Canyon_Grassland_WWR3_SHRUB1_ctrl_one_yr,0,0,1,0,2.75,0,0,0,0.5,0,7.5,0,0
Canyon_Grassland_WWR3_SHRUB2_ctrl_one_yr,0,0,6,0,3.75,0,0,0,0,0,0,0,0
Canyon_Grassland_WWR3_SHRUB3_ctrl_one_yr,0,0,6,0,3.75,0,0,0,0,0,0,0,0
catcreek_101_ctrl_one_yr,0,0,15,0,0,0,0,0,15,0,2.5,0,0
catcreek_101_ctrl_one_yr,0,0,15,0,0,0,0,0,0,0,0,0,0
catcreek_213_ctrl_one_yr,0,0,5,0,0,0,0,0,0,0,0,0,0
catcreek_213_ctrl_one_yr,0,0,15,0,0,0,0,0,15,0,0,0,0
catcreek_307_ctrl_one_yr,0,0,37.5,0,0,0,0,0,15,0,0,0,0
catcreek_307_ctrl_one_yr,0,0,37.5,0,0,0,0,0,2.5,0,0,0,0
chipmunk_road_1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,11.8,0,0
chipmunk_road_2_ctrl_one_yr,0,0,3.6,0,0,0,0,0,0,0,4.8,0,0
chipmunk_road_3_ctrl_one_yr,0,0,13.8,0,0,0,0,0,0.6,0,8.2,0,0
CSKT_1_ctrl_one_yr,0,0,0.86,0,0,0,0,0,33.43,28,0.07,0,0
CSKT_2_ctrl_one_yr,0,0,0.14,0,0,0,0,0,44.29,9.57,0,0,0
CSKT_3_ctrl_one_yr,0,0,0.43,0,0,0,0,0,32.57,14.57,0,0,0
decker_A1_1_ctrl_one_yr,0,0,0,0,0,0,0,0,26.17,0,0,0,0
decker_A2__ctrl_one_yr,0,0,0,0,0,0,0,0,23.67,0,0,0,0
decker_B1__ctrl_one_yr,0,0,0,0,0,0,0,0,5.5,0,0,0,0
decker_C1__ctrl_one_yr,0,0,0.17,0,0,0,0,0,45.17,0,0,0,0
decker_C2__ctrl_one_yr,0,0,6.33,0,0,0,0,0,6.5,0,0,0,0
decker_C3__ctrl_one_yr,0,0,0.33,0,0,0,0,0,7.83,0,0,0,0
Draw_3_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
FK_Cottonwood_1_ctrl_one_yr,0,0,9.71,0,0,0,0,0,0,0,0,0,0
FK_Cottonwood_2_ctrl_one_yr,0,0,8.43,0,0,0,0,0,0,0,0,0,0
FK_Cottonwood_3_ctrl_one_yr,0,0,13.57,0,0,0,0,0,0,0,0,0,0
FK_East_Hill_1_ctrl_one_yr,0,0,17.86,0,0,0,0,0,0.07,0,0,0,0
FK_East_Hill_2_ctrl_one_yr,0,0,25.86,0,0,0,0,0,0.43,0,0,0,0
FK_East_Hill_3_ctrl_one_yr,0,0,26.29,0,0,0,0,0,0.14,0,0,0,0
FK_Hogsback_1_ctrl_one_yr,0,0,0.21,0,0,0,0,0,26.43,0,0,0,0
FK_Hogsback_2_ctrl_one_yr,0,0,0.86,0,0,0,0,0,23.71,0,0,0,0
FK_Hogsback_3_ctrl_one_yr,0,0,0.71,0,0,0,0,0,15.14,0,0,0,0
FK_Lone_Pine_1_ctrl_one_yr,0,0,6.57,0,0,0,0,0,0,0,0,0,0
FK_Lone_Pine_2_ctrl_one_yr,0,0,19.86,0,0,0,0,0,0.29,0,0,0,0
FK_Lone_Pine_3_ctrl_one_yr,0,0,12.21,0,0,0,0,0,1.57,0,0,0,0
Flem_1_ctrl_one_yr,0,0,0,0,0,0,0,0,55,0,0,0,0
Flem_2_ctrl_one_yr,0,0,0,0,0,0,0,0,50.29,0,0,0,0
Flem_3_ctrl_one_yr,0,0,0,0,0,0,0,0,53,0,0,0,0
four_mile_road_1_ctrl_one_yr,0,0,2.4,0,0,0,0,0,4.4,29.6,10.6,0,0
four_mile_road_2_ctrl_one_yr,0,0,4.2,0,0,0,0,0,2.4,19.6,18.2,0,0
four_mile_road_3_ctrl_one_yr,0,0,10,0,0,0,0,0,3,29,9.4,0,0
gravel_pit_1_ctrl_one_yr,0,0,15.4,0,0,0,0,0,1.8,9.4,3.8,0,0
gravel_pit_2_ctrl_one_yr,0,0,19,0,0,0,0,0,5.6,3.6,3.8,0,0
gravel_pit_3_ctrl_one_yr,0,0,13.8,0,0,0,0,0,0,2.4,0,0,0
highway_20_1_ctrl_one_yr,0,0,0.6,0,0,0,0,0,0.6,0,8.2,0,0
highway_20_2_ctrl_one_yr,0,0,3.8,0,0,0,0,0,1.8,0,0.6,0,0
highway_20_3_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,3.8,0,0
Hyattville_1_ctrl_one_yr,0,0,0,0,0,0,0,0,6.67,0,0,0,0
Hyattville_10_ctrl_one_yr,0,0,0.83,0,0,0,0,0,6.67,0,0,0,0
Hyattville_106_ctrl_one_yr,0,0,0,0,0,0,0,0,37.5,0,0,0,0
Hyattville_118_ctrl_one_yr,0,0,0,0,0,0,0,0,38.33,0,0,0,0
Hyattville_124_ctrl_one_yr,0,0,0.83,0,0,0,0,0,10.83,0,0,0,0
Hyattville_133_ctrl_one_yr,0,0,0,0,0,0,0,0,10.83,0,0,0,0
Hyattville_145_ctrl_one_yr,0,0,0.83,0,0,0,0,0,0.83,0,0,0,0
Hyattville_163_ctrl_one_yr,0,0,0,0,0,0,0,0,30,0,0,0,0
Hyattville_172_ctrl_one_yr,0,0,0,0,0,0,0,0,45.83,0,0,0,0
Hyattville_178_ctrl_one_yr,0,0,0,0,0,0,0,0,38.33,0,0,0,0
Hyattville_187_ctrl_one_yr,0,0,0,0,0,0,0,0,2.5,0,0,0,0
Hyattville_211_ctrl_one_yr,0,0,0,0,0,0,0,0,54.17,0,0,0,0
Hyattville_214_ctrl_one_yr,0,0,0.83,0,0,0,0,0,61.67,0,0,0,0
Hyattville_25_ctrl_one_yr,0,0,0,0,0,0,0,0,1.67,0,0,0,0
Hyattville_31_ctrl_one_yr,0,0,0,0,0,0,0,0,1.67,0,0,0,0
Hyattville_40_ctrl_one_yr,0,0,0.83,0,0,0,0,0,0,0,0,0,0
Hyattville_49_ctrl_one_yr,0,0,0,0,0,0,0,0,0.83,0,0,0,0
