"","Year","Location","Family","Block","Crown","GLB"
"67","Sixth","LA Tech","AGHS3",3,5.34,"AGHS3_LA Tech_3"
"68","Sixth","LA Tech","AGHS3",4,5.61,"AGHS3_LA Tech_4"
"69","Sixth","LA Tech","AGHS4",1,3.54,"AGHS4_LA Tech_1"
"70","Sixth","LA Tech","AGHS4",2,4.91,"AGHS4_LA Tech_2"
"71","Sixth","LA Tech","AGHS4",3,4.84,"AGHS4_LA Tech_3"
"72","Sixth","LA Tech","AGHS4",4,5.49,"AGHS4_LA Tech_4"
"73","Sixth","Hill Farm","AGH2",1,0.54,"AGH2_Hill Farm_1"
"74","Sixth","Hill Farm","AGH2",2,1.18,"AGH2_Hill Farm_2"
"75","Sixth","Hill Farm","AGH2",3,0.94,"AGH2_Hill Farm_3"
"76","Sixth","Hill Farm","AGH2",4,0.9,"AGH2_Hill Farm_4"
"77","Sixth","Hill Farm","AGH25",1,0.8,"AGH25_Hill Farm_1"
"78","Sixth","Hill Farm","AGH25",2,1.61,"AGH25_Hill Farm_2"
"79","Sixth","Hill Farm","AGH25",3,0.64,"AGH25_Hill Farm_3"
"80","Sixth","Hill Farm","AGH25",4,1.56,"AGH25_Hill Farm_4"
"81","Sixth","Hill Farm","AGHS1",1,2.74,"AGHS1_Hill Farm_1"
"82","Sixth","Hill Farm","AGHS1",2,3.49,"AGHS1_Hill Farm_2"
"83","Sixth","Hill Farm","AGHS1",3,3.3,"AGHS1_Hill Farm_3"
"84","Sixth","Hill Farm","AGHS1",4,1.8,"AGHS1_Hill Farm_4"
"85","Sixth","Hill Farm","AGHS2",1,1.85,"AGHS2_Hill Farm_1"
"86","Sixth","Hill Farm","AGHS2",2,3.99,"AGHS2_Hill Farm_2"
"87","Sixth","Hill Farm","AGHS2",3,3.67,"AGHS2_Hill Farm_3"
"88","Sixth","Hill Farm","AGHS2",4,3.97,"AGHS2_Hill Farm_4"
"89","Sixth","Hill Farm","AGHS3",1,1.74,"AGHS3_Hill Farm_1"
"90","Sixth","Hill Farm","AGHS3",2,1.23,"AGHS3_Hill Farm_2"
"91","Sixth","Hill Farm","AGHS3",3,3.3,"AGHS3_Hill Farm_3"
"92","Sixth","Hill Farm","AGHS3",4,2.6,"AGHS3_Hill Farm_4"
"93","Sixth","Hill Farm","AGHS4",1,0.84,"AGHS4_Hill Farm_1"
"94","Sixth","Hill Farm","AGHS4",2,2.32,"AGHS4_Hill Farm_2"
"95","Sixth","Hill Farm","AGHS4",3,1.81,"AGHS4_Hill Farm_3"
"96","Sixth","Hill Farm","AGHS4",4,3.44,"AGHS4_Hill Farm_4"
"97","Seventh","LA Tech","AGH2",1,1.19,"AGH2_LA Tech_1"
"98","Seventh","LA Tech","AGH2",2,2.8,"AGH2_LA Tech_2"
"99","Seventh","LA Tech","AGH2",3,4.39,"AGH2_LA Tech_3"
"100","Seventh","LA Tech","AGH2",4,3.32,"AGH2_LA Tech_4"
"101","Seventh","LA Tech","AGH25",1,1.3,"AGH25_LA Tech_1"
"102","Seventh","LA Tech","AGH25",2,3.85,"AGH25_LA Tech_2"
