"","Year","Location","Family","Block","Height","GLB"
"338","Seventh","LA Tech","AGH2",2,8.23,"AGH2_LA Tech_2"
"339","Seventh","LA Tech","AGH2",3,8.37,"AGH2_LA Tech_3"
"340","Seventh","LA Tech","AGH2",4,8.67,"AGH2_LA Tech_4"
"341","Seventh","LA Tech","AGH25",1,8.21,"AGH25_LA Tech_1"
"342","Seventh","LA Tech","AGH25",2,8.53,"AGH25_LA Tech_2"
"343","Seventh","LA Tech","AGH25",3,8.67,"AGH25_LA Tech_3"
"344","Seventh","LA Tech","AGH25",4,8.74,"AGH25_LA Tech_4"
"345","Seventh","LA Tech","AGHS1",1,9.98,"AGHS1_LA Tech_1"
"346","Seventh","LA Tech","AGHS1",2,8.91,"AGHS1_LA Tech_2"
"347","Seventh","LA Tech","AGHS1",3,9.72,"AGHS1_LA Tech_3"
"348","Seventh","LA Tech","AGHS1",4,9.3,"AGHS1_LA Tech_4"
"349","Seventh","LA Tech","AGHS2",1,10.09,"AGHS2_LA Tech_1"
"350","Seventh","LA Tech","AGHS2",2,9.45,"AGHS2_LA Tech_2"
"351","Seventh","LA Tech","AGHS2",3,9.55,"AGHS2_LA Tech_3"
"352","Seventh","LA Tech","AGHS2",4,9.18,"AGHS2_LA Tech_4"
"353","Seventh","LA Tech","AGHS3",1,9.26,"AGHS3_LA Tech_1"
"354","Seventh","LA Tech","AGHS3",2,9.72,"AGHS3_LA Tech_2"
"355","Seventh","LA Tech","AGHS3",3,9.3,"AGHS3_LA Tech_3"
"356","Seventh","LA Tech","AGHS3",4,9.26,"AGHS3_LA Tech_4"
"357","Seventh","LA Tech","AGHS4",1,9.94,"AGHS4_LA Tech_1"
"358","Seventh","LA Tech","AGHS4",2,9.08,"AGHS4_LA Tech_2"
"359","Seventh","LA Tech","AGHS4",3,9.41,"AGHS4_LA Tech_3"
"360","Seventh","LA Tech","AGHS4",4,9.41,"AGHS4_LA Tech_4"
"361","Seventh","Hill Farm","AGH2",1,8.85,"AGH2_Hill Farm_1"
"362","Seventh","Hill Farm","AGH2",2,7.09,"AGH2_Hill Farm_2"
"363","Seventh","Hill Farm","AGH2",3,8.69,"AGH2_Hill Farm_3"
"364","Seventh","Hill Farm","AGH2",4,9.14,"AGH2_Hill Farm_4"
"365","Seventh","Hill Farm","AGH25",1,7.25,"AGH25_Hill Farm_1"
"366","Seventh","Hill Farm","AGH25",2,8.05,"AGH25_Hill Farm_2"
"367","Seventh","Hill Farm","AGH25",3,7.92,"AGH25_Hill Farm_3"
"368","Seventh","Hill Farm","AGH25",4,9.21,"AGH25_Hill Farm_4"
"369","Seventh","Hill Farm","AGHS1",1,10.67,"AGHS1_Hill Farm_1"
"370","Seventh","Hill Farm","AGHS1",2,9.16,"AGHS1_Hill Farm_2"
"371","Seventh","Hill Farm","AGHS1",3,10.35,"AGHS1_Hill Farm_3"
"372","Seventh","Hill Farm","AGHS1",4,9.14,"AGHS1_Hill Farm_4"
"373","Seventh","Hill Farm","AGHS2",1,9.03,"AGHS2_Hill Farm_1"
"374","Seventh","Hill Farm","AGHS2",2,9.65,"AGHS2_Hill Farm_2"
"375","Seventh","Hill Farm","AGHS2",3,10.45,"AGHS2_Hill Farm_3"
"376","Seventh","Hill Farm","AGHS2",4,9.79,"AGHS2_Hill Farm_4"
"377","Seventh","Hill Farm","AGHS3",1,7.99,"AGHS3_Hill Farm_1"
"378","Seventh","Hill Farm","AGHS3",2,7.45,"AGHS3_Hill Farm_2"
"379","Seventh","Hill Farm","AGHS3",3,9.65,"AGHS3_Hill Farm_3"
"380","Seventh","Hill Farm","AGHS3",4,9.08,"AGHS3_Hill Farm_4"
"381","Seventh","Hill Farm","AGHS4",1,9.46,"AGHS4_Hill Farm_1"
"382","Seventh","Hill Farm","AGHS4",2,9.29,"AGHS4_Hill Farm_2"
"383","Seventh","Hill Farm","AGHS4",3,10.02,"AGHS4_Hill Farm_3"
"384","Seventh","Hill Farm","AGHS4",4,10.01,"AGHS4_Hill Farm_4"
